Date,Product ID,Model,Serial Number,Quantity,Entity,Ref No.,Person,Remark
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405087,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405268,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404588,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405091,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405141,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402320,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403157,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402114,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404644,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405518,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402613,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403022,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116493806978,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116493806905,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116493806949,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404177,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405079,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404959,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405170,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405083,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405350,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405171,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404365,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405353,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404477,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116491711594,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405294,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405061,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405211,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404201,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404180,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402845,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116491629577,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402935,,Simat,,Wuttikorn,
